x y z strike dip rake shear normal coulomb
(km) (km) (km) (deg) (deg) (deg) (bar) (bar) (bar)
  -75.0000   40.0000  -10.0000   30.0  90.0   180.0    0.0384   -0.0048    0.0365
  -75.0000   45.0000  -10.0000   30.0  90.0   180.0    0.0368   -0.0135    0.0314
  -75.0000   50.0000  -10.0000   30.0  90.0   180.0    0.0339   -0.0212    0.0254
  -75.0000   55.0000  -10.0000   30.0  90.0   180.0    0.0301   -0.0277    0.0190
  -75.0000   60.0000  -10.0000   30.0  90.0   180.0    0.0259   -0.0330    0.0127
  -75.0000   65.0000  -10.0000   30.0  90.0   180.0    0.0214   -0.0370    0.0065
  -75.0000   70.0000  -10.0000   30.0  90.0   180.0    0.0169   -0.0399    0.0009
  -75.0000   75.0000  -10.0000   30.0  90.0   180.0    0.0126   -0.0417   -0.0041
  -75.0000   80.0000  -10.0000   30.0  90.0   180.0    0.0086   -0.0426   -0.0085
  -75.0000   85.0000  -10.0000   30.0  90.0   180.0    0.0050   -0.0427   -0.0121
  -75.0000   90.0000  -10.0000   30.0  90.0   180.0    0.0018   -0.0423   -0.0151
  -75.0000   95.0000  -10.0000   30.0  90.0   180.0   -0.0009   -0.0414   -0.0175
  -75.0000  100.0000  -10.0000   30.0  90.0   180.0   -0.0032   -0.0401   -0.0193
  -70.0000 -100.0000  -10.0000   30.0  90.0   180.0    0.0227    0.0012    0.0232
  -70.0000  -95.0000  -10.0000   30.0  90.0   180.0    0.0247   -0.0001    0.0247
  -70.0000  -90.0000  -10.0000   30.0  90.0   180.0    0.0267   -0.0017    0.0260
  -70.0000  -85.0000  -10.0000   30.0  90.0   180.0    0.0284   -0.0036    0.0270
  -70.0000  -80.0000  -10.0000   30.0  90.0   180.0    0.0299   -0.0060    0.0275
  -70.0000  -75.0000  -10.0000   30.0  90.0   180.0    0.0308   -0.0087    0.0273
  -70.0000  -70.0000  -10.0000   30.0  90.0   180.0    0.0311   -0.0117    0.0264
  -70.0000  -65.0000  -10.0000   30.0  90.0   180.0    0.0304   -0.0150    0.0244
  -70.0000  -60.0000  -10.0000   30.0  90.0   180.0    0.0287   -0.0183    0.0214
  -70.0000  -55.0000  -10.0000   30.0  90.0   180.0    0.0258   -0.0213    0.0173
  -70.0000  -50.0000  -10.0000   30.0  90.0   180.0    0.0215   -0.0237    0.0121
  -70.0000  -45.0000  -10.0000   30.0  90.0   180.0    0.0160   -0.0250    0.0060
  -70.0000  -40.0000  -10.0000   30.0  90.0   180.0    0.0094   -0.0248   -0.0005
  -70.0000  -35.0000  -10.0000   30.0  90.0   180.0    0.0022   -0.0226   -0.0068
  -70.0000  -30.0000  -10.0000   30.0  90.0   180.0   -0.0049   -0.0181   -0.0121
  -70.0000  -25.0000  -10.0000   30.0  90.0   180.0   -0.0110   -0.0113   -0.0155
  -70.0000  -20.0000  -10.0000   30.0  90.0   180.0   -0.0152   -0.0025   -0.0162
  -70.0000  -15.0000  -10.0000   30.0  90.0   180.0   -0.0167    0.0075   -0.0138
  -70.0000  -10.0000  -10.0000   30.0  90.0   180.0   -0.0151    0.0175   -0.0081
  -70.0000   -5.0000  -10.0000   30.0  90.0   180.0   -0.0104    0.0265    0.0002
  -70.0000    0.0000  -10.0000   30.0  90.0   180.0   -0.0029    0.0332    0.0104
  -70.0000    5.0000  -10.0000   30.0  90.0   180.0    0.0063    0.0367    0.0210
  -70.0000   10.0000  -10.0000   30.0  90.0   180.0    0.0162    0.0366    0.0308
  -70.0000   15.0000  -10.0000   30.0  90.0   180.0    0.0255    0.0330    0.0388
  -70.0000   20.0000  -10.0000   30.0  90.0   180.0    0.0334    0.0264    0.0440
  -70.0000   25.0000  -10.0000   30.0  90.0   180.0    0.0392    0.0176    0.0463
  -70.0000   30.0000  -10.0000   30.0  90.0   180.0    0.0425    0.0076    0.0456
  -70.0000   35.0000  -10.0000   30.0  90.0   180.0    0.0435   -0.0029    0.0423
  -70.0000   40.0000  -10.0000   30.0  90.0   180.0    0.0422   -0.0130    0.0370
